Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632762559.26534,717476292.43707,760302230.599189,852639263.226546,954961338.661425,1059577307.79847,1199748840.55689,1304024064.3651,1362017025.4557,1471535164.8099,1538188506.91405,1591171076.55552,1817009854.22474,1780899098.75565,1699600361.0153,1946670684.46655,2234526113.85413,1920274304.53257,2353360763.23989,2194516015.42355,2585668012.67191,2411358838.91082,2274835962.0805,2290680021.83851,2412460160.44556,2473122221.96532,2542890611.38154,2481324143.01127,2469661605.77886,2490319227.56851,
Afghanistan,AFG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12652731615.2823,14872476818.4586,16077122106.0457,19553143411.8663,21216133074.7867,21109372973.7394,20583395762.3476,19893952026.153,19763601236.7075,
Angola,AGO,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,5909142950.14388,6967475842.39664,7106916245.93949,7208189321.56461,9791908191.86864,9208683040.41152,11055239120.1211,4204362170.69117,3769324229.57236,2453448143.37102,5114858307.30316,5181572717.10552,6626516968.7808,6315864350.16787,5275183156.45804,5902876836.50012,6690069078.36828,10317784124.7679,12827032871.8984,19001401454.4116,26682963583.3658,36533201175.0453,51492997441.0064,65659539400.8012,71273450786.0281,75763529023.4008,82745466679.5811,104804632353.752,124418737743.276,134935106937.924,125915235125.105,108726746874.796,106188912084.136,
Albania,ALB,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,2114290475.94353,2250946648.84473,2308259449.58612,2445669340.53684,2144674610.30695,1323138041.12148,910982822.423351,985928462.285307,1211221696.88592,2034907999.85729,2823121068.6532,2532245043.46401,2700983895.66002,2957039638.79978,3409087276.79489,3906816683.22226,4175673039.02638,5011394233.8619,6364048997.72649,7888740800.16741,9130183101.26004,10273102504.4882,11892855169.1069,12529074418.559,12709486996.4151,12804491322.8267,12658730500.7699,13156704050.8837,13115217051.801,12636420521.3921,12431258587.5402,12415263189.8473,
Andorra,AND,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518836636384.124,544757465955.323,581578889899.849,612159957939.165,625969484835.603,631846148856.186,679859183039.062,720470145032.255,730713761765.421,809493519860.372,947480336399.595,1107023760986.5,1299946407494.16,1531690582480.12,1842222608258.03,1912126449197.96,2051216509883.55,2197762409981.7,2595996990334.76,2821521570386.65,2918104627858.32,2804051253185.85,2677198149227.42,2543753550576.87,
United Arab Emirates,ARE,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98424973047.7352,105599045558.086,107622937088.949,121688462672.802,147125913781.565,172049184074.736,208706588077.411,244207093897.418,282949571000.644,277083140714.063,285525246112.775,313361523739.872,358576239694.267,395200086761.445,408795570860.867,397091788800.93,379560941169.909,367820841418.855,
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,24436915654.103,27307536017.2301,30359663534.4139,28316034885.8704,28110535227.8209,30585419212.241,31582382532.011,35775760791.007,36156762383.0369,45649404115.3341,62985567014.5745,70261202934.7401,61903678901.7335,59112910817.3592,59256732622.5587,72112302460.3745,81313009206.645,79780400776.3327,76943271518.4499,83947790179.624,84067984525.5595,81711398394.0999,92716101175.1247,111879826532.584,125261891812.971,94313119785.3069,103923582583.802,127810746338.002,203570469410.014,241814720362.144,262188226196.828,256347178436.284,272663359670.34,290495337988.436,289536836748.235,276294736658.033,275544288842.814,260811643580.081,152402040124.724,139193101197.153,129809211585.293,165719405446.532,215445097642.32,258429317135.467,307363845739.273,315586430025.773,378241273935.818,442037545215.98,496046283909.912,543285805981.272,526784533342.356,543279945585.475,532641117933.086,576641794615.7,
Armenia,ARM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063409718.22735,1102754533.34824,1314498864.77413,1466393965.57222,1641685571.54618,1747584372.68865,1825628017.51424,1893112767.31418,2025189580.91766,2172390024.751,2441392029.22578,2894719583.58023,3506971033.36786,4581813197.0362,5963511730.43349,8096070934.93035,10463239023.9374,9630072525.24755,9986732751.60982,10160338283.949,11192555416.7801,11911914235.7021,12066250933.1507,11754066438.3756,11024338644.2658,11680285902.7698,
American Samoa,ASM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,107885010.374034,134644016.910459,150097123.788156,152571916.563597,166488706.050596,195964410.717051,223213604.120424,245131890.97681,300929073.17666,373136823.521066,399819783.374354,426252907.290816,458051764.71126,481298119.197952,523298792.657384,568171367.624961,558752307.695228,610541385.706506,650804997.900445,678919824.219365,717459295.585588,771086043.245003,760913416.509694,756894881.894364,835176339.903285,919129102.222044,1010720535.82707,1141507777.50393,1266512312.67235,1300973457.10908,1176196659.35807,1117224244.02719,1102751774.72479,1151784317.68461,1156438966.10778,1203456413.53977,1238658144.63667,1300482339.25476,1408623723.64929,
Australia,AUS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,20091504007.4832,21534567881.3926,23475877538.5669,25819652801.7516,27278181017.407,29901918655.0102,32730931175.9915,36442272660.5046,40863430140.9301,44845928371.4673,51129439722.062,62119481532.9902,81487642222.364,100155904046.55,110229605868.036,114520004829.001,121418157068.678,139049695637.973,158834707362.452,176829968208.847,183062396946.653,177829226724.04,186678124134.624,188952529249.4,196816998001.962,203750870197.504,232918837199.495,261565318377.332,295172503877.344,314420290591.866,323789080208.448,333324191119.943,336132563453.735,347851291077.113,374270311118.869,405483414396.769,406836453344.723,405300379417.98,404295825840.012,390314009946.461,392619931732.726,419928087364.411,512305943140.3,617403818793.777,704984475843.291,775811938676.029,898262395854.323,954018898764.987,1025588139223.14,1122142962074.18,1365992022596.1,1524643903717.47,1527263304541.28,1439534849132.93,1310546571338.37,1263489389657.72,
Austria,AUT,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,7542193505.44714,8160812049.70646,8952334691.9985,9711756127.16677,10733894518.9912,11490052086.3633,12488031184.1324,13757221942.2535,15443421475.9884,17375538467.4046,20827473239.1557,27135197307.1791,35357094836.2651,41973161235.5971,45227642834.6819,50391969569.5823,56986218940.2421,72612079390.6323,86525730455.1099,84581170196.9959,78645873789.7615,72607743404.5408,70106041910.3023,70825979875.3135,81882180825.3902,104616119741.677,137094989115.957,147034433421.814,158408233607.962,169120913032.956,192283092956.751,196613460993.975,207435406701.491,224071373891.892,239520716353.916,235529404437.111,223132054055.934,216445414007.918,214597273270.408,203403148707.604,201783302036.57,227595226612.843,275818116541.06,318541898520.895,342843451664.686,369206548428.716,408644604544.14,408848760398.98,414882679332.729,424545779721.83,422005292078.195,429923724575.35,430894924072.678,411629707010.012,400589734449.253,400262626706.264,
Azerbaijan,AZE,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4341209464.82378,3305600739.73451,3038311360.05228,3114681746.89865,3536138127.25658,4042474595.28936,4552742030.10941,4922349090.73277,5337846238.5926,5860743035.26757,6766678056.86935,7894457713.89565,10620707587.8781,16040279965.4571,23239277154.9172,34134518621.4846,43200139085.9891,48951723305.0914,51009258005.6335,60213693151.1973,70153323285.1332,73398246979.7766,63236286882.6401,46440903779.8612,40203466974.814,
Burundi,BDI,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,206666179.554777,229705021.266601,249136186.896266,218415484.943328,186278497.787243,178801235.584619,176530724.12111,178807836.954774,235185344.33884,250901658.136643,245081171.320459,301256262.156112,348631154.078756,414529128.473886,461778313.282136,545551150.710919,581439793.958895,720310248.680174,896643348.126934,1074923410.54021,1034715176.42408,1019182029.11059,1009821428.96855,1131169775.87282,1201972390.95721,1294120780.36516,1302305820.07593,1210929034.44108,1187230148.15055,1225750918.73291,1192299103.35533,1044187086.06226,955734527.505136,916444361.740934,868857678.238637,906257045.773036,906190364.534549,866791081.745411,859340957.827912,843865403.332798,862872242.206563,827371837.115567,887399105.827597,995605101.460884,1175616040.79969,1332112571.50257,1516886419.58533,1667652235.95457,1895318490.82197,2104253313.41179,2314466640.08665,2477681834.22573,2603067066.60491,2651125146.98084,2800494736.21398,3026085720.91743,
Belgium,BEL,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,13405546015.7945,14226174724.9565,15668565678.5183,17067196863.0391,18553179286.3821,20097046130.0383,21872541388.0785,24221708058.9659,26973562926.9012,29877955663.963,35520016459.3504,45899743630.9037,58874388978.8932,68058757924.0321,74814839817.1949,81195887961.424,94535140658.0594,116116760376.182,138487067416.057,130703584075.385,110746504351.14,93347466350.3758,87777198622.1823,87407607516.8398,100736808363.668,129866812940.034,169233842442.851,180042478293.823,193416863917.647,206919490199.866,233844921108.885,237182529020.838,255011689260.339,275722938490.967,292113549735.124,291645174004.754,272600509365.862,267718442172.155,266898059136.103,252312262496.621,249289062420.764,281422137369.728,343542198502.188,396646508720.659,422242261648.752,454524132447.623,500420148254.787,499542662024.805,522086629329,520149232654.601,525186567187.905,530055394119.68,526434299650.302,498694955284.968,483166155183.222,475204800969.116,
